Bar,Date,Time,Open,High,Low,Close,CCI(20C),%K(141),%D(3)
449,11/19/07,14:20,144225,144350,144050,144250,144.85,90.24,89.28
450,11/19/07,14:25,144250,144425,144150,144400,186.53,97.72,93.42
451,11/19/07,14:30,144375,144450,144100,144150,92.11,73.33,87.1
452,11/19/07,14:35,144175,144400,144150,144350,135.74,91.11,87.39
453,11/19/07,14:40,144350,144750,144350,144575,165.1,87.71,84.05
454,11/19/07,14:45,144550,144625,144450,144550,135.14,85.96,88.26
455,11/19/07,14:50,144550,144575,144175,144225,54.9,63.15,78.94
456,11/19/07,14:55,144225,144250,144100,144200,43.13,61.4,70.17
457,11/19/07,15:00,144200,144225,143800,143900,-33.33,40.35,54.97
458,11/19/07,15:05,143900,144100,143875,143875,-40.12,35.18,45.64
459,11/19/07,15:10,143875,143975,143700,143800,-58.49,26.92,34.15
460,11/19/07,15:15,143800,144100,143800,143925,-26.16,21.42,27.84
461,11/19/07,15:20,143950,144450,143900,144325,66.66,59.52,35.95
462,11/19/07,15:25,144300,144475,144125,144225,36.74,50,43.65
463,11/19/07,15:30,144175,144350,143825,143875,-61.74,16.66,42.06
464,11/19/07,15:35,143875,144000,143825,143850,-80.81,14.28,26.98
465,11/19/07,15:40,143850,143875,143550,143625,-147.81,6.25,12.4
466,11/19/07,15:45,143625,143750,143500,143625,-133.33,10,10.17
467,11/19/07,15:50,143625,143850,143550,143800,-76.28,26.66,14.3
468,11/19/07,15:55,143800,143900,143650,143675,-96.85,16.27,17.64
469,11/20/07,09:30,143750,144250,143700,144225,42.02,74.35,39.1
470,11/20/07,09:35,144225,144425,144125,144350,74.96,87.17,59.27
471,11/20/07,09:40,144350,144375,144150,144200,35.7,71.79,77.77
472,11/20/07,09:45,144175,144475,144150,144450,95.81,97.43,85.47
473,11/20/07,09:50,144425,144925,144350,144900,191.81,98.24,89.15
474,11/20/07,09:55,144900,145050,144775,144900,176.85,90.32,95.33
475,11/20/07,10:00,144875,145325,144875,145250,207.53,95.89,94.81
476,11/20/07,10:05,145250,145325,145050,145250,172.04,95.89,94.03
477,11/20/07,10:10,145250,145250,144925,144975,110.09,80.82,90.86
478,11/20/07,10:15,144975,145000,144825,144975,96.69,80.82,85.84
479,11/20/07,10:20,145000,145075,144775,144800,63.49,71.23,77.62
480,11/20/07,10:25,144775,144975,144725,144925,72.5,77.46,76.5
481,11/20/07,10:30,144925,145050,144750,144975,71.35,79.1,75.93
482,11/20/07,10:35,144975,145250,144900,145100,78.87,86.15,80.9
483,11/20/07,10:40,145100,145400,145050,145300,94.87,92.15,85.8
484,11/20/07,10:45,145275,145625,145275,145450,105.17,88.13,88.81
